Channel Type,Inbox,Channel Name / Address,Active,Authorized,Channel Instance ID,Inbox ID
Calling,Help Desk,100 Riverside Dr UWS,True,True,1490118201,547281398
Calling,Help Desk,1000 Lorimer,True,True,1490126065,547281398
Calling,Help Desk,1027 Cortelyou Rd Flatbu,True,True,1490122867,547281398
Calling,Help Desk,105 N 13th St,True,True,1490123274,547281398
Calling,Help Desk,108 E Washington,True,True,1490138877,547281398
Calling,Help Desk,1081 Thomas Jefferson,True,True,1494299512,547281398
Calling,Help Desk,1199 Park Ave,True,True,1490137365,547281398
Calling,Help Desk,119th & 5th - Harlem,True,True,1490132261,547281398
Calling,Help Desk,123 Melrose St,True,True,1490140268,547281398
Calling,Help Desk,125 Borinquen,True,True,1490117099,547281398
Calling,Help Desk,125 W 25th St (Chelsea),True,True,1494297628,547281398
Calling,Help Desk,129 Grand St,True,True,1490139737,547281398
Calling,Help Desk,1320 Fulton,True,True,1490151216,547281398
Calling,Help Desk,134 Broadway,True,True,1490136506,547281398
Calling,Help Desk,135 Montague,True,True,1490128329,547281398
Calling,Help Desk,148 N 10th St,True,True,1490126215,547281398
Calling,Help Desk,1600 S 1st St - Austin (,True,True,3714742895,547281398
Calling,Help Desk,1600 S 1st St - Austin (,True,True,3714752984,547281398
Calling,Help Desk,184 Kent Ave Williamsbur,True,True,1490146772,547281398
Calling,Help Desk,186 Montague (Brooklyn H,True,True,1490112980,547281398
Calling,Help Desk,1st Stop Storage,True,True,1584853614,547281398
Calling,Help Desk,2 McKenny St,True,True,1490131022,547281398
Calling,Help Desk,209 E 56th St,True,True,1491830168,547281398
Calling,Help Desk,21-30 44th Dr,True,True,1490142742,547281398
Calling,Help Desk,211 McGuinness Blvd Gree,True,True,1490149379,547281398
Calling,Help Desk,220 West Main Storage,True,True,1494281223,547281398
Calling,Help Desk,228 Berry St,True,True,1490098574,547281398
Calling,Help Desk,240 Wythe Ave,True,True,1490151629,547281398
Calling,Help Desk,243 Canal St,True,True,1490116189,547281398
Calling,Help Desk,253 W 28th,True,True,1490101630,547281398
Calling,Help Desk,26-26 Jackson Ave,True,True,1494296872,547281398
Calling,Help Desk,260 Court St,True,True,1490129305,547281398
Calling,Help Desk,264 Pacific,True,True,1494298126,547281398
Calling,Help Desk,300 E 29th,True,True,1490116669,547281398
Calling,Help Desk,309 Grand St,True,True,1490148758,547281398
Calling,Help Desk,32 West Rd Towson Mini,True,True,1490143639,547281398
Calling,Help Desk,324 Gates Ave,True,True,1490124688,547281398
Calling,Help Desk,3282 Tejon,True,True,1490149936,547281398
Calling,Help Desk,344 W 38th St,True,True,1490151322,547281398
Calling,Help Desk,371 E 10th St,True,True,1490125189,547281398
Calling,Help Desk,377 Boat & RV Storage,True,True,1490070938,547281398
Calling,Help Desk,384 Humboldt,True,True,1494300336,547281398
Calling,Help Desk,399 Atlantic Ave,True,True,1494296333,547281398
Calling,Help Desk,401 E 84th St,True,True,1490127422,547281398
Calling,Help Desk,4200 Wisconsin Ave NW,True,True,1580010915,547281398
Calling,Help Desk,435 7th St NW DC,True,True,1490133470,547281398
Calling,Help Desk,441 E 12th St East Villa,True,True,1490110377,547281398
Calling,Help Desk,45 Nassau,True,True,1494295881,547281398
Calling,Help Desk,451 Columbus Ave UWS,True,True,1490147868,547281398
Calling,Help Desk,470 Dean St Prospect Hei,True,True,1490150772,547281398
Calling,Help Desk,473 Grand St,True,True,1490138140,547281398
Calling,Help Desk,49 Self Storage - Ported,True,True,2111948753,547281398
Calling,Help Desk,503 5th Ave Park Slope,True,True,1490141129,547281398
Calling,Help Desk,504 Myrtle Ave Clinton H,True,True,1490148664,547281398
Calling,Help Desk,60 Broadway,True,True,1490109591,547281398
Calling,Help Desk,600 Station LLC,True,True,1490072923,547281398
Calling,Help Desk,6B Storage & RV,True,True,2119277602,547281398
Calling,Help Desk,7 Dey St,True,True,1490112066,547281398
Calling,Help Desk,71 N 7th St Williamsburg,True,True,1490147276,547281398
Calling,Help Desk,72 Thompson St,True,True,1490134867,547281398
Calling,Help Desk,7201 Wisconsin Ave,True,True,1491821114,547281398
Calling,Help Desk,724 Safe Storage,True,True,3855622202,547281398
Calling,Help Desk,724 Safe Storage - TMP,True,True,3112363655,547281398
Calling,Help Desk,80 Riverside Dr UWS,True,True,1490151765,547281398
Calling,Help Desk,80 Rockwell Pl Downtown,True,True,1490145954,547281398
Calling,Help Desk,808 Driggs Ave,True,True,1490114149,547281398
Calling,Help Desk,812 Broadway,True,True,1491821959,547281398
Calling,Help Desk,83rd & Halsted Self Stor,True,True,3627561593,547281398
Calling,Help Desk,975 Manhattan,True,True,1490152244,547281398
Calling,Help Desk,A Affordable Storage Wax,True,True,2568668364,547281398
Calling,Help Desk,A to Z -  Master Number,True,True,2265353219,547281398
Calling,Help Desk,A to Z Storage - Fox hil,True,True,2045500322,547281398
Calling,Help Desk,A to Z Storage - Master,True,True,2111970218,547281398
Calling,Help Desk,A to Z Storage - Tatamy,True,True,2045500019,547281398
Calling,Help Desk,A1 Self Storage,True,True,1490096459,547281398
Calling,Help Desk,A1 Self Storage,True,True,1491839011,547281398
Calling,Help Desk,Aaron Bros. Self Storage,True,True,3627562464,547281398
Calling,Help Desk,Adam's Phone,False,True,1666780629,547281398
Calling,Help Desk,Advanced Self Storage,True,True,2115778790,547281398
Calling,Help Desk,Advanced Storage Solutio,True,True,3331546418,547281398
Calling,Help Desk,Advanced Storage Solutio,True,True,3331546958,547281398
Calling,Help Desk,Advanced Storage Solutio,True,True,3331547312,547281398
Calling,Help Desk,Affordable Self Storage,True,True,1491801313,547281398
Calling,Help Desk,Affordable Self Storage,True,True,1491804089,547281398
Calling,Help Desk,Affordable Self Storage,True,True,1580019262,547281398
Calling,Help Desk,Affordable Self Storage,True,True,1580020064,547281398
Calling,Help Desk,Affordable Self Storage,True,True,1580021069,547281398
Calling,Help Desk,Affordable Self Storage,True,True,1580021492,547281398
Calling,Help Desk,All About Storage (Aubur,True,True,2410991790,547281398
Calling,Help Desk,All American Self Storag,True,True,1489741220,547281398
Calling,Help Desk,All In Storage,True,True,3933294424,547281398
Calling,Help Desk,All Storage of Elk Grove,True,True,1490128995,547281398
Calling,Help Desk,All Weather Storage,True,True,1489742893,547281398
Calling,Help Desk,Allen Genoa Self Storage,True,True,1489736709,547281398
Calling,Help Desk,Allen Genoa Self Storage,True,True,1491808965,547281398
Calling,Help Desk,American Storage - Centr,True,True,3403316640,547281398
Calling,Help Desk,American Storage - East,True,True,3403317281,547281398
Calling,Help Desk,American Storage - North,True,True,3403316766,547281398
Calling,Help Desk,American Storage - West,True,True,3403317396,547281398
Calling,Help Desk,Androscoggin Self Storag,True,True,1823475638,547281398
Calling,Help Desk,Ann Arbor Self Storage,True,True,1489744514,547281398
Calling,Help Desk,Anytime Storage,True,True,1490142980,547281398
Calling,Help Desk,Armor Storage,True,True,1490148224,547281398
Calling,Help Desk,Atkinsonville Self Stora,True,True,1578569502,547281398
Calling,Help Desk,Attic SelfStor - Bellevi,True,True,1812860415,547281398
Calling,Help Desk,Attic SelfStor - Brazil,True,True,1812860246,547281398
Calling,Help Desk,Attic SelfStor - Greenca,True,True,1812859880,547281398
Calling,Help Desk,Attic SelfStor - Plaifie,True,True,1812859677,547281398
Calling,Help Desk,Attic SelfStor - Rockvil,True,True,1812859156,547281398
